Year,Sex,Control,race,rate
2008,Female,Public,Hispanic,16.5003489841731
2008,Female,Public,White,23.4773946360153
2009,Female,Public,Total,20.2033286534648
2009,Female,Public,Asian,29.54837787623267
2009,Female,Public,Black,11.21543741501
2009,Female,Public,Hispanic,16.8171714365101
2009,Female,Public,White,23.0296345249585
2010,Female,Public,Total,20.0512735300401
2010,Female,Public,Asian,29.96007259528131
2010,Female,Public,Black,10.8341673418164
2010,Female,Public,Hispanic,17.2319105886887
2010,Female,Public,White,23.0012421868427
2011,Female,Public,Total,20.3982435228499
2011,Female,Public,Asian,31.28321350422007
2011,Female,Public,Black,9.74518073262559
2011,Female,Public,Hispanic,18.446069756151
2011,Female,Public,White,23.7921683953231
2012,Female,Public,Total,22.5183384183225
2012,Female,Public,Asian,33.66374673428616
2012,Female,Public,Black,11.8495469936854
2012,Female,Public,Hispanic,20.3477238113907
2012,Female,Public,White,25.8377578049994
2013,Female,Public,Total,24.3691820776964
2013,Female,Public,Asian,35.32403483085459
2013,Female,Public,Black,13.5480814779725
2013,Female,Public,Hispanic,22.2112478808874
2013,Female,Public,White,27.9150867159819
2014,Female,Public,Total,25.8109586899597
2014,Female,Public,Asian,36.99893308946807
2014,Female,Public,Black,14.7017014861081
2014,Female,Public,Hispanic,23.7782874841123
2014,Female,Public,White,29.1879848710235
2015,Female,Public,Total,27.7898018951512
2015,Female,Public,Asian,38.51466765688823
2015,Female,Public,Black,16.731976771635
2015,Female,Public,Hispanic,25.9632363583731
2015,Female,Public,White,31.1418685121107
2016,Female,Public,Total,29.2275639573977
2016,Female,Public,Asian,40.608668920996
2016,Female,Public,Black,18.7018809082935
2016,Female,Public,Hispanic,27.0406844870654
2016,Female,Public,White,32.7428348347463
2017,Female,Public,Total,30.5029940975547
2017,Female,Public,Asian,43.1539948453608
2017,Female,Public,Black,19.2710946122203
2017,Female,Public,Hispanic,28.2636393569353
2017,Female,Public,White,34.199698100485
2018,Female,Public,Total,31.4757456162262
2018,Female,Public,Asian,45.6269998476307
2018,Female,Public,Black,20.4791698458721
2018,Female,Public,Hispanic,28.8639410641496
2018,Female,Public,White,35.0878574747769
2019,Female,Public,Total,31.4475420332304
2019,Female,Public,Asian,46.2339439081858
2019,Female,Public,Black,19.913442217528
2019,Female,Public,Hispanic,28.4336360371454
2019,Female,Public,White,35.5868199983688
2000,Female,Private Nonprofit,Total,50.6511547143601
2000,Female,Private Nonprofit,Black,43.0904522613065
2000,Female,Private Nonprofit,Hispanic,58.2809224318658
2000,Female,Private Nonprofit,White,50.0
2005,Female,Private Nonprofit,Total,51.3035019455253
2005,Female,Private Nonprofit,Black,44.9450549450549
2005,Female,Private Nonprofit,Hispanic,49.6487119437939
2005,Female,Private Nonprofit,White,54.8864046159394
2008,Female,Private Nonprofit,Total,59.8823529411765
2008,Female,Private Nonprofit,Asian,57.67326732673267
2008,Female,Private Nonprofit,Black,55.7836557441769
2008,Female,Private Nonprofit,Hispanic,67.7176148046607
2008,Female,Private Nonprofit,White,63.2416458285974
2009,Female,Private Nonprofit,Total,66.6137845936894
2009,Female,Private Nonprofit,Asian,62.69662921348315
2009,Female,Private Nonprofit,Black,63.3601841196778
2009,Female,Private Nonprofit,Hispanic,72.4610591900312
2009,Female,Private Nonprofit,White,70.7659873506676
2010,Female,Private Nonprofit,Total,57.5418362731796
2010,Female,Private Nonprofit,Asian,54.46153846153846
2010,Female,Private Nonprofit,Black,54.8185231539424
2010,Female,Private Nonprofit,Hispanic,66.447985004686
2010,Female,Private Nonprofit,White,59.9594085242099
2011,Female,Private Nonprofit,Total,54.1291020555355
2011,Female,Private Nonprofit,Asian,50.61728395061728
2011,Female,Private Nonprofit,Black,50.163836759011
2011,Female,Private Nonprofit,Hispanic,60.75
2011,Female,Private Nonprofit,White,59.1700629862912
2012,Female,Private Nonprofit,Total,56.0681147195276
2012,Female,Private Nonprofit,Asian,62.92134831460674
2012,Female,Private Nonprofit,Black,49.1787624140565
2012,Female,Private Nonprofit,Hispanic,61.3438407299875
2012,Female,Private Nonprofit,White,61.1700247437257
2013,Female,Private Nonprofit,Total,60.7777471336827
2013,Female,Private Nonprofit,Asian,76.27627627627628
2013,Female,Private Nonprofit,Black,53.4916741964631
2013,Female,Private Nonprofit,Hispanic,66.3085188027628
2013,Female,Private Nonprofit,White,66.3616445418224
2014,Female,Private Nonprofit,Total,63.6093876449959
2014,Female,Private Nonprofit,Asian,82.96296296296296
2014,Female,Private Nonprofit,Black,59.8982022958631
2014,Female,Private Nonprofit,Hispanic,66.9440591770689
2014,Female,Private Nonprofit,White,68.2201010668164
2015,Female,Private Nonprofit,Total,63.696733073047
2015,Female,Private Nonprofit,Asian,73.50157728706624
2015,Female,Private Nonprofit,Black,60.7926294238081
2015,Female,Private Nonprofit,Hispanic,63.9460370994941
2015,Female,Private Nonprofit,White,67.4313225715095
2016,Female,Private Nonprofit,Total,53.1767804235707
2016,Female,Private Nonprofit,Asian,83.06878306878306
2016,Female,Private Nonprofit,Black,42.5219941348974
2016,Female,Private Nonprofit,Hispanic,69.8284561049445
2016,Female,Private Nonprofit,White,56.2979189485213
2017,Female,Private Nonprofit,Total,51.2817617165443
2017,Female,Private Nonprofit,Asian,84.1726618705036
2017,Female,Private Nonprofit,Black,36.4761558063342
2017,Female,Private Nonprofit,Hispanic,59.8225602027884
2017,Female,Private Nonprofit,White,61.0451306413302
2018,Female,Private Nonprofit,Total,57.8222645906154
2018,Female,Private Nonprofit,Asian,87.6470588235294
2018,Female,Private Nonprofit,Black,51.9604995643334
2018,Female,Private Nonprofit,Hispanic,66.8571428571429
2018,Female,Private Nonprofit,White,60.5489326309953
2019,Female,Private Nonprofit,Total,55.4556726596404
2019,Female,Private Nonprofit,Asian,83.0065359477124
2019,Female,Private Nonprofit,Black,45.1121572971476
2019,Female,Private Nonprofit,Hispanic,59.0381426202322
2019,Female,Private Nonprofit,White,62.8407460545194
2000,Female,Private For-profit,Total,58.9389091450257
2000,Female,Private For-profit,Black,48.5936343449297
2000,Female,Private For-profit,Hispanic,61.8258001248106
2000,Female,Private For-profit,White,62.6147698502272
2005,Female,Private For-profit,Total,57.8449925808047
2005,Female,Private For-profit,Black,50.0019188701692
2005,Female,Private For-profit,Hispanic,63.339494762785
2005,Female,Private For-profit,White,61.5420432758148
2008,Female,Private For-profit,Total,63.1584687534082
2008,Female,Private For-profit,Asian,71.42857142857143
2008,Female,Private For-profit,Black,54.6641839972726
2008,Female,Private For-profit,Hispanic,70.3254929912093
2008,Female,Private For-profit,White,64.1980046047583
2009,Female,Private For-profit,Total,64.4220989225831
2009,Female,Private For-profit,Asian,73.43346632245952
2009,Female,Private For-profit,Black,54.7206465148807
2009,Female,Private For-profit,Hispanic,70.7386935797883
2009,Female,Private For-profit,White,65.9649189056511
2010,Female,Private For-profit,Total,63.7745436068668
2010,Female,Private For-profit,Asian,73.71209891080365
2010,Female,Private For-profit,Black,54.984292868029
2010,Female,Private For-profit,Hispanic,70.6546848424847
2010,Female,Private For-profit,White,65.6769969054133
2011,Female,Private For-profit,Total,58.8202242180463
2011,Female,Private For-profit,Asian,66.92111959287533
2011,Female,Private For-profit,Black,49.7387871986378
2011,Female,Private For-profit,Hispanic,63.364479721357
2011,Female,Private For-profit,White,62.0406256012754
2012,Female,Private For-profit,Total,61.2917867877078
2012,Female,Private For-profit,Asian,73.37786259541986
2012,Female,Private For-profit,Black,50.0629439798579
2012,Female,Private For-profit,Hispanic,70.9615119326804
2012,Female,Private For-profit,White,63.932870106694
2013,Female,Private For-profit,Total,61.4112458654906
2013,Female,Private For-profit,Asian,69.80854197349042
2013,Female,Private For-profit,Black,49.2891525803202
2013,Female,Private For-profit,Hispanic,67.7351984069163
2013,Female,Private For-profit,White,65.238446637764
2014,Female,Private For-profit,Total,62.5840606667621
2014,Female,Private For-profit,Asian,73.38541666666667
2014,Female,Private For-profit,Black,49.3743758444458
2014,Female,Private For-profit,Hispanic,71.2512926577042
2014,Female,Private For-profit,White,65.1823134953898
2015,Female,Private For-profit,Total,61.7548559946417
2015,Female,Private For-profit,Asian,68.85382059800665
2015,Female,Private For-profit,Black,51.8106548465334
2015,Female,Private For-profit,Hispanic,66.2679049268062
2015,Female,Private For-profit,White,65.8856015779093
2016,Female,Private For-profit,Total,59.6415014761704
2016,Female,Private For-profit,Asian,71.38643067846607
2016,Female,Private For-profit,Black,47.7109762824049
2016,Female,Private For-profit,Hispanic,67.8084585809158
2016,Female,Private For-profit,White,62.8195880419973
2017,Female,Private For-profit,Total,60.7377137326594
2017,Female,Private For-profit,Asian,70.3409992069786
2017,Female,Private For-profit,Black,47.360225418953
2017,Female,Private For-profit,Hispanic,69.0560180612389
2017,Female,Private For-profit,White,63.619178553016
2018,Female,Private For-profit,Total,59.6970252275365
2018,Female,Private For-profit,Asian,71.8803418803419
2018,Female,Private For-profit,Black,46.5321659687857
2018,Female,Private For-profit,Hispanic,66.4728551145967
2018,Female,Private For-profit,White,63.2111251580278
2019,Female,Private For-profit,Total,55.4228540921045
2019,Female,Private For-profit,Asian,63.8964577656676
2019,Female,Private For-profit,Black,44.3520665121113
2019,Female,Private For-profit,Hispanic,61.7811451993541
2019,Female,Private For-profit,White,60.3242024965326
