Year_Raw,Section,Year,Race_Ethnicity,Enrollment_Rate
2000,Keep,2000,Asian,81.03366927450638
2000,Keep,2000,Black,54.86517902790531
2000,Keep,2000,Hispanic,52.93683068547125
2000,Keep,2000,White,65.6513119942705
2001,Keep,2001,Total,61.7568865131502
2001,Keep,2001,Asian,73.84629637335122
2001,Keep,2001,Black,54.955070738014925
2001,Keep,2001,Hispanic,51.67646142664313
2001,Keep,2001,White,64.2553286616897
2002,Keep,2002,Total,65.2436246338925
2002,Keep,2002,Asian,63.70608968425132
2002,Keep,2002,Black,59.3893553608188
2002,Keep,2002,Hispanic,53.55809711121908
2002,Keep,2002,White,69.0595317233642
2003\5\,Keep,2003,Total,63.909459072338
2003\5\,Keep,2003,Asian,84.08860916995678
2003\5\,Keep,2003,Black,57.48368385107054
2003\5\,Keep,2003,Hispanic,58.57601157082192
2003\5\,Keep,2003,White,66.1798887858623
2004\5\,Keep,2004,Total,66.6590603704944
2004\5\,Keep,2004,Asian,75.63274572265802
2004\5\,Keep,2004,Black,62.4963228731121
2004\5\,Keep,2004,Hispanic,61.833805681456816
2004\5\,Keep,2004,White,68.8105919779282
2005\5\,Keep,2005,Total,68.564962678533007
2005\5\,Keep,2005,Asian,86.70200443077222
2005\5\,Keep,2005,Black,55.670710471325755
2005\5\,Keep,2005,Hispanic,53.995283381610314
2005\5\,Keep,2005,White,73.1928534583196
2006\5\,Keep,2006,Total,65.9815101742713
2006\5\,Keep,2006,Asian,82.29525095226217
2006\5\,Keep,2006,Black,55.492277787495006
2006\5\,Keep,2006,Hispanic,57.94900596820807
2006\5\,Keep,2006,White,68.5100584313784
2007\5\,Keep,2007,Total,67.1867347979878
2007\5\,Keep,2007,Asian,88.80565987838237
2007\5\,Keep,2007,Black,55.74960716238459
2007\5\,Keep,2007,Hispanic,63.98221796707407
2007\5\,Keep,2007,White,69.5237001598381
2008\5\,Keep,2008,Total,68.5992604452836
2008\5\,Keep,2008,Asian,88.41668615690662
2008\5\,Keep,2008,Black,55.68372436083375
2008\5\,Keep,2008,Hispanic,63.894124031567806
2008\5\,Keep,2008,White,71.6925261288328
2009\5\,Keep,2009,Total,70.0765589306517
2009\5\,Keep,2009,Asian,92.11092731643032
2009\5\,Keep,2009,Black,69.54723236138929
2009\5\,Keep,2009,Hispanic,59.33957449948451
2009\5\,Keep,2009,White,71.3383257660928
2010\5\,Keep,2010,Total,68.0881742979676
2010\5\,Keep,2010,Asian,84.687204146124
2010\5\,Keep,2010,Black,62.04949806372542
2010\5\,Keep,2010,Hispanic,59.695450686590256
2010\5\,Keep,2010,White,70.4940637161173
2011\5\,Keep,2011,Total,68.2331226981542
2011\5\,Keep,2011,Asian,86.12536800159411
2011\5\,Keep,2011,Black,67.14377682879199
2011\5\,Keep,2011,Hispanic,66.59092085286946
2011\5\,Keep,2011,White,68.273934741326
2012\5\,Keep,2012,Total,66.2160837698441
2012\5\,Keep,2012,Asian,81.49454138177862
2012\5\,Keep,2012,Black,56.40239305306925
2012\5\,Keep,2012,Hispanic,70.29425940789457
2012\5\,Keep,2012,White,65.7178502546565
2013\5\,Keep,2013,Total,65.8925237170472
2013\5\,Keep,2013,Asian,80.12878185304038
2013\5\,Keep,2013,Black,56.70381738737533
2013\5\,Keep,2013,Hispanic,59.83481441262717
2013\5\,Keep,2013,White,68.8259235428846
2014\5\,Keep,2014,Total,68.3733170852777
2014\5\,Keep,2014,Asian,90.94909285902337
2014\5\,Keep,2014,Black,70.19799336081604
2014\5\,Keep,2014,Hispanic,65.16289848635564
2014\5\,Keep,2014,White,67.7088242356207
2015\5\,Keep,2015,Total,69.2389226668302
2015\5\,Keep,2015,Asian,83.15279483888845
2015\5\,Keep,2015,Black,55.6263574545096
2015\5\,Keep,2015,Hispanic,68.86510493643932
2015\5\,Keep,2015,White,71.3183313642626
2016\5\,Keep,2016,Total,69.7686679959284
2016\5\,Keep,2016,Asian,91.86540901901726
2016\5\,Keep,2016,Black,57.29273606427261
2016\5\,Keep,2016,Hispanic,71.96617042743367
2016\5\,Keep,2016,White,69.6782704810983
2017\5\,Keep,2017,Total,66.7171023701258
2017\5\,Keep,2017,Asian,82.72566914559292
2017\5\,Keep,2017,Black,59.40260195223751
2017\5\,Keep,2017,Hispanic,61.01679169460538
2017\5\,Keep,2017,White,69.0847248215545
2018\5\,Keep,2018,Total,69.1281629890243
2018\5\,Keep,2018,Asian,73.55601900574757
2018\5\,Keep,2018,Black,64.49695425655769
2018\5\,Keep,2018,Hispanic,65.43106578826486
2018\5\,Keep,2018,White,70.8660769138958
2019\5\,Keep,2019,Total,66.1639771116054
2019\5\,Keep,2019,Asian,89.7670709899685
2019\5\,Keep,2019,Black,49.8242416076799
2019\5\,Keep,2019,Hispanic,63.4324538037059
2019\5\,Keep,2019,White,68.0297054808206
2020\5\,Keep,2020,Total,62.7187488670065
2020\5\,Keep,2020,Asian,82.72822447147459
2020\5\,Keep,2020,Black,57.4562753941627
2020\5\,Keep,2020,Hispanic,56.1736771623033
2020\5\,Keep,2020,White,65.0117907063429
2021\5\,Keep,2021,Total,61.7961855715465
2021\5\,Keep,2021,Asian,85.2320972261106
2021\5\,Keep,2021,Black,59.2402851959329
2021\5\,Keep,2021,Hispanic,58.577306222556494
2021\5\,Keep,2021,White,62.2893826028314
2022\5\,Keep,2022,Total,62.0337645576149
2022\5\,Keep,2022,Asian,74.46899372669141
2022\5\,Keep,2022,Black,60.88417490098558
2022\5\,Keep,2022,Hispanic,58.01225556313806
2022\5\,Keep,2022,White,64.0147773081788
